STEP, BUS(name, type, x, y, n.pass, root, leader), BUSSTOP(name, x, y, queue)
1,[Bus_0<man>:[x=8 ,y=8]-[PAX=2],Bus_1<man>:[x=0 ,y=0]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_3<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_4<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_5<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_7<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_9<robot>:[x=1 ,y=1]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=3],BusStop_3:[x=8 ,y=0]-[QLine=5],BusStop_2:[x=8 ,y=8]-[QLine=0],BusStop_1:[x=0 ,y=8]-[QLine=0]]
12,[Bus_0<man>:[x=5 ,y=3]-[PAX=10],Bus_1<man>:[x=3 ,y=5]-[PAX=4],Bus_RB_2<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_3<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_4<robot>:[x=5 ,y=3]-[PAX=5],Bus_RB_5<robot>:[x=5 ,y=3]-[PAX=0],Bus_RB_6<robot>:[x=5 ,y=3]-[PAX=0],Bus_RB_7<robot>:[x=5 ,y=3]-[PAX=0],Bus_RB_8<robot>:[x=5 ,y=3]-[PAX=0],Bus_RB_9<robot>:[x=5 ,y=3]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=10],BusStop_4:[x=4 ,y=4]-[QLine=28],BusStop_3:[x=8 ,y=0]-[QLine=9],BusStop_2:[x=8 ,y=8]-[QLine=28],BusStop_1:[x=0 ,y=8]-[QLine=2]]
13,[Bus_0<man>:[x=4 ,y=4]-[PAX=10],Bus_1<man>:[x=4 ,y=4]-[PAX=10],Bus_RB_2<robot>:[x=4 ,y=4]-[PAX=3],Bus_RB_3<robot>:[x=4 ,y=4]-[PAX=5],Bus_RB_4<robot>:[x=4 ,y=4]-[PAX=2],Bus_RB_5<robot>:[x=4 ,y=4]-[PAX=0],Bus_RB_6<robot>:[x=4 ,y=4]-[PAX=0],Bus_RB_7<robot>:[x=4 ,y=4]-[PAX=0],Bus_RB_8<robot>:[x=4 ,y=4]-[PAX=0],Bus_RB_9<robot>:[x=4 ,y=4]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=12],BusStop_4:[x=4 ,y=4]-[QLine=29],BusStop_3:[x=8 ,y=0]-[QLine=12],BusStop_2:[x=8 ,y=8]-[QLine=30],BusStop_1:[x=0 ,y=8]-[QLine=2]]
14,[Bus_0<man>:[x=5 ,y=5]-[PAX=10],Bus_1<man>:[x=3 ,y=3]-[PAX=10],Bus_RB_2<robot>:[x=5 ,y=5]-[PAX=3],Bus_RB_3<robot>:[x=5 ,y=5]-[PAX=5],Bus_RB_4<robot>:[x=5 ,y=5]-[PAX=2],Bus_RB_5<robot>:[x=5 ,y=5]-[PAX=0],Bus_RB_6<robot>:[x=5 ,y=5]-[PAX=0],Bus_RB_7<robot>:[x=5 ,y=5]-[PAX=0],Bus_RB_8<robot>:[x=5 ,y=5]-[PAX=0],Bus_RB_9<robot>:[x=5 ,y=5]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=13],BusStop_4:[x=4 ,y=4]-[QLine=32],BusStop_3:[x=8 ,y=0]-[QLine=17],BusStop_2:[x=8 ,y=8]-[QLine=31],BusStop_1:[x=0 ,y=8]-[QLine=2]]
15,[Bus_0<man>:[x=6 ,y=6]-[PAX=10],Bus_1<man>:[x=2 ,y=2]-[PAX=10],Bus_RB_2<robot>:[x=6 ,y=6]-[PAX=3],Bus_RB_3<robot>:[x=6 ,y=6]-[PAX=5],Bus_RB_4<robot>:[x=6 ,y=6]-[PAX=2],Bus_RB_5<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_6<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_7<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_8<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_9<robot>:[x=6 ,y=6]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=13],BusStop_4:[x=4 ,y=4]-[QLine=37],BusStop_3:[x=8 ,y=0]-[QLine=20],BusStop_2:[x=8 ,y=8]-[QLine=33],BusStop_1:[x=0 ,y=8]-[QLine=2]]
16,[Bus_0<man>:[x=7 ,y=7]-[PAX=10],Bus_1<man>:[x=1 ,y=1]-[PAX=10],Bus_RB_2<robot>:[x=7 ,y=7]-[PAX=3],Bus_RB_3<robot>:[x=7 ,y=7]-[PAX=5],Bus_RB_4<robot>:[x=7 ,y=7]-[PAX=2],Bus_RB_5<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_6<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_7<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_8<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_9<robot>:[x=7 ,y=7]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=14],BusStop_4:[x=4 ,y=4]-[QLine=41],BusStop_3:[x=8 ,y=0]-[QLine=20],BusStop_2:[x=8 ,y=8]-[QLine=38],BusStop_1:[x=0 ,y=8]-[QLine=2]]
17,[Bus_0<man>:[x=8 ,y=8]-[PAX=10],Bus_1<man>:[x=0 ,y=0]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=8]-[PAX=6],Bus_RB_6<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_7<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_9<robot>:[x=8 ,y=8]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=9],BusStop_4:[x=4 ,y=4]-[QLine=45],BusStop_3:[x=8 ,y=0]-[QLine=20],BusStop_2:[x=8 ,y=8]-[QLine=0],BusStop_1:[x=0 ,y=8]-[QLine=2]]
18,[Bus_0<man>:[x=8 ,y=7]-[PAX=10],Bus_1<man>:[x=0 ,y=1]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=7]-[PAX=6],Bus_RB_6<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_7<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_8<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_9<robot>:[x=7 ,y=7]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=10],BusStop_4:[x=4 ,y=4]-[QLine=50],BusStop_3:[x=8 ,y=0]-[QLine=22],BusStop_2:[x=8 ,y=8]-[QLine=1],BusStop_1:[x=0 ,y=8]-[QLine=3]]
19,[Bus_0<man>:[x=8 ,y=6]-[PAX=10],Bus_1<man>:[x=0 ,y=2]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=6]-[PAX=6],Bus_RB_6<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_7<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_8<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_9<robot>:[x=6 ,y=6]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=10],BusStop_4:[x=4 ,y=4]-[QLine=53],BusStop_3:[x=8 ,y=0]-[QLine=25],BusStop_2:[x=8 ,y=8]-[QLine=5],BusStop_1:[x=0 ,y=8]-[QLine=3]]
20,[Bus_0<man>:[x=8 ,y=5]-[PAX=10],Bus_1<man>:[x=0 ,y=3]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=5]-[PAX=6],Bus_RB_6<robot>:[x=5 ,y=5]-[PAX=0],Bus_RB_7<robot>:[x=5 ,y=5]-[PAX=0],Bus_RB_8<robot>:[x=5 ,y=5]-[PAX=0],Bus_RB_9<robot>:[x=5 ,y=5]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=13],BusStop_4:[x=4 ,y=4]-[QLine=54],BusStop_3:[x=8 ,y=0]-[QLine=29],BusStop_2:[x=8 ,y=8]-[QLine=6],BusStop_1:[x=0 ,y=8]-[QLine=4]]
21,[Bus_0<man>:[x=8 ,y=4]-[PAX=10],Bus_1<man>:[x=0 ,y=4]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=4]-[PAX=6],Bus_RB_6<robot>:[x=6 ,y=4]-[PAX=0],Bus_RB_7<robot>:[x=6 ,y=4]-[PAX=0],Bus_RB_8<robot>:[x=6 ,y=4]-[PAX=0],Bus_RB_9<robot>:[x=6 ,y=4]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=13],BusStop_4:[x=4 ,y=4]-[QLine=56],BusStop_3:[x=8 ,y=0]-[QLine=30],BusStop_2:[x=8 ,y=8]-[QLine=13],BusStop_1:[x=0 ,y=8]-[QLine=4]]
22,[Bus_0<man>:[x=8 ,y=3]-[PAX=10],Bus_1<man>:[x=0 ,y=5]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=3]-[PAX=6],Bus_RB_6<robot>:[x=7 ,y=3]-[PAX=0],Bus_RB_7<robot>:[x=7 ,y=3]-[PAX=0],Bus_RB_8<robot>:[x=7 ,y=3]-[PAX=0],Bus_RB_9<robot>:[x=7 ,y=3]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=13],BusStop_4:[x=4 ,y=4]-[QLine=56],BusStop_3:[x=8 ,y=0]-[QLine=35],BusStop_2:[x=8 ,y=8]-[QLine=16],BusStop_1:[x=0 ,y=8]-[QLine=6]]
23,[Bus_0<man>:[x=8 ,y=2]-[PAX=10],Bus_1<man>:[x=0 ,y=6]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=2]-[PAX=6],Bus_RB_6<robot>:[x=8 ,y=2]-[PAX=0],Bus_RB_7<robot>:[x=8 ,y=2]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=2]-[PAX=0],Bus_RB_9<robot>:[x=8 ,y=2]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=13],BusStop_4:[x=4 ,y=4]-[QLine=59],BusStop_3:[x=8 ,y=0]-[QLine=40],BusStop_2:[x=8 ,y=8]-[QLine=16],BusStop_1:[x=0 ,y=8]-[QLine=8]]
24,[Bus_0<man>:[x=8 ,y=1]-[PAX=10],Bus_1<man>:[x=0 ,y=7]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=1]-[PAX=6],Bus_RB_6<robot>:[x=8 ,y=1]-[PAX=0],Bus_RB_7<robot>:[x=8 ,y=1]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=1]-[PAX=0],Bus_RB_9<robot>:[x=8 ,y=1]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=14],BusStop_4:[x=4 ,y=4]-[QLine=63],BusStop_3:[x=8 ,y=0]-[QLine=43],BusStop_2:[x=8 ,y=8]-[QLine=17],BusStop_1:[x=0 ,y=8]-[QLine=9]]
25,[Bus_0<man>:[x=8 ,y=0]-[PAX=10],Bus_1<man>:[x=0 ,y=8]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_7<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_8<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_9<robot>:[x=8 ,y=0]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=15],BusStop_4:[x=4 ,y=4]-[QLine=67],BusStop_3:[x=8 ,y=0]-[QLine=0],BusStop_2:[x=8 ,y=8]-[QLine=17],BusStop_1:[x=0 ,y=8]-[QLine=3]]
26,[Bus_0<man>:[x=7 ,y=1]-[PAX=10],Bus_1<man>:[x=1 ,y=7]-[PAX=10],Bus_RB_2<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_3<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_4<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_5<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_6<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_7<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_8<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_9<robot>:[x=7 ,y=1]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=15],BusStop_4:[x=4 ,y=4]-[QLine=71],BusStop_3:[x=8 ,y=0]-[QLine=4],BusStop_2:[x=8 ,y=8]-[QLine=19],BusStop_1:[x=0 ,y=8]-[QLine=3]]
27,[Bus_0<man>:[x=6 ,y=2]-[PAX=10],Bus_1<man>:[x=2 ,y=6]-[PAX=10],Bus_RB_2<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_3<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_4<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_5<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_6<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_7<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_8<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_9<robot>:[x=6 ,y=2]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=16],BusStop_4:[x=4 ,y=4]-[QLine=73],BusStop_3:[x=8 ,y=0]-[QLine=7],BusStop_2:[x=8 ,y=8]-[QLine=22],BusStop_1:[x=0 ,y=8]-[QLine=4]]
28,[Bus_0<man>:[x=5 ,y=3]-[PAX=10],Bus_1<man>:[x=3 ,y=5]-[PAX=10],Bus_RB_2<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_3<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_4<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_5<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_6<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_7<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_8<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_9<robot>:[x=5 ,y=3]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=17],BusStop_4:[x=4 ,y=4]-[QLine=73],BusStop_3:[x=8 ,y=0]-[QLine=13],BusStop_2:[x=8 ,y=8]-[QLine=24],BusStop_1:[x=0 ,y=8]-[QLine=5]]
29,[Bus_0<man>:[x=4 ,y=4]-[PAX=10],Bus_1<man>:[x=4 ,y=4]-[PAX=10],Bus_RB_2<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_3<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_4<robot>:[x=4 ,y=4]-[PAX=5],Bus_RB_5<robot>:[x=4 ,y=4]-[PAX=1],Bus_RB_6<robot>:[x=4 ,y=4]-[PAX=3],Bus_RB_7<robot>:[x=4 ,y=4]-[PAX=3],Bus_RB_8<robot>:[x=4 ,y=4]-[PAX=3],Bus_RB_9<robot>:[x=4 ,y=4]-[PAX=1]],[BusStop_0:[x=0 ,y=0]-[QLine=17],BusStop_4:[x=4 ,y=4]-[QLine=90],BusStop_3:[x=8 ,y=0]-[QLine=17],BusStop_2:[x=8 ,y=8]-[QLine=27],BusStop_1:[x=0 ,y=8]-[QLine=6]]
